,range,avg_range_by_quartiles,avg_range_by_halves,avg,region
"Tanzania, United Republic of",501.18000000000006,346.42399999999986,211.02100000000007,1006.019523809524,"Tanzania, United Republic of"
Arusha,624.11,415.978,270.38,684.4814285714285,Arusha
Dar-es-salaam,1055.3600000000001,705.1299999999999,439.15599999999984,1030.8733333333332,Dar-es-salaam
Dodoma,603.45,327.14599999999984,202.5039999999999,630.7852380952381,Dodoma
Kigoma,430.39,273.5039999999999,159.48499999999967,1141.7600000000002,Kigoma
Kilimanjaro,981.1100000000001,605.5999999999999,401.1879999999999,902.4161904761905,Kilimanjaro
Lindi,893.4200000000001,658.7900000000002,444.70600000000013,1472.2861904761903,Lindi
Manyara,655.3300000000002,429.63800000000003,264.80100000000004,717.0828571428572,Manyara
Mara,753.51,482.828,292.5949999999997,1133.0009523809524,Mara
Mbeya,323.52,217.346,139.39200000000005,824.2942857142857,Mbeya
Morogoro,911.4399999999999,555.5519999999998,374.16999999999985,1228.7666666666669,Morogoro
Mtwara,842.27,625.1999999999997,407.202,1223.3076190476193,Mtwara
Pwani,1131.17,709.1139999999999,464.36400000000015,1204.514285714286,Pwani
Ruvuma,482.6100000000001,395.894,259.7570000000005,1229.62,Ruvuma
Singida,477.47,270.65600000000006,165.10900000000015,654.84,Singida
Tabora,486.47,352.11800000000005,214.865,911.1461904761904,Tabora
Tanga,1142.15,688.1280000000002,425.097,951.3514285714284,Tanga
Iringa,549.56,318.62200000000007,203.20499999999993,804.8990476190475,Iringa
Kagera,444.78,348.97,251.21199999999976,1265.9357142857143,Kagera
Mwanza,452.76,358.5380000000001,238.31000000000017,1108.5409523809526,Mwanza
Rukwa,223.25,172.81599999999992,107.46800000000007,975.929523809524,Rukwa
Shinyanga,460.19999999999993,356.41600000000017,217.95199999999988,903.0880952380952,Shinyanga
