,Region,water_basic_2005,water_basic_2008,water_basic_2010,water_basic_2012,water_basic_2016,water_basic_2017,water_unimproved_2005,water_unimproved_2008,water_unimproved_2010,water_unimproved_2012,water_unimproved_2016,water_unimproved_2017,water_limited_2005,water_limited_2008,water_limited_2010,water_limited_2012,water_limited_2016,water_limited_2017,water_surface_2005,water_surface_2008,water_surface_2010,water_surface_2012,water_surface_2016,water_surface_2017
0,Arusha,44.77583,46.85551,61.37929,54.65171,58.28709,73.92895,14.4242,7.10011,9.32201,18.50003,7.42625,4.76088,22.72813,29.49887,16.16676,14.61535,22.85539,14.74645,18.07185,16.5455,13.13193,12.23291,11.43127,6.56372
15,Dar Es Salaam,89.88359,86.17239,88.35046,94.52692,89.92259,93.01502,7.30727,10.33435,5.98656,4.42171,2.06619,5.8238,2.64396,3.45938,5.66297,1.05136,8.01122,1.16118,0.16518,0.03387,0.0,0.0,0.0,0.0
18,Dodoma,53.39603,29.19334,15.79254,27.33214,47.78264,46.00347,13.38491,29.29445,38.5825,48.79825,33.71009,22.71787,21.82564,21.24124,24.60595,19.07217,18.20731,21.72459,11.39342,20.27097,21.01901,4.79744,0.29996,9.55407
24,Iringa,38.37422,63.29417,36.96397,22.6563,55.36443,66.5224,29.63886,10.99518,31.70032,43.30663,26.39653,16.2012,14.5325,6.06542,5.39078,1.16736,3.621,4.23282,17.45441,19.64523,25.94493,32.86971,14.61804,13.04358
37,Kagera,28.4837,30.48809,30.97666,29.49304,27.84752,29.96989,16.95867,22.29905,30.38604,18.32194,30.2339,40.52575,12.81175,16.66769,6.63467,15.39743,16.54866,15.59417,41.74589,30.54517,32.00263,36.78759,25.36992,13.91018
44,Kigoma,35.15166,40.38978,30.31541,61.85246,41.6146,58.17626,21.22835,14.27281,26.77693,9.99201,34.68417,18.46488,12.8286,17.18656,12.72294,15.55988,18.16246,3.65273,30.79139,28.15085,30.18472,12.59565,5.53877,19.70613
52,Kilimanjaro,67.65575,78.00624,63.04528,80.71656,85.98049,90.87798,8.86138,3.59649,13.2814,8.39228,2.8207,5.83274,8.67908,8.60725,11.18924,7.40196,10.13756,1.53688,14.80378,9.79001,12.48408,3.48921,1.06125,1.7524
63,Lindi,25.79108,34.67709,19.93003,29.48056,40.44351,38.08021,54.80893,42.60802,59.18517,32.9475,34.27921,50.31158,14.65599,7.89665,5.66416,15.73502,10.37919,4.14503,4.74401,14.81824,15.22064,21.83691,14.89809,7.46318
69,Manyara,23.9187,35.63526,32.96417,33.04035,44.72969,45.53574,44.15756,18.34437,12.802,14.45521,20.36949,34.80008,26.07494,17.97712,15.97959,14.22768,12.29297,6.09926,5.8488,28.04325,38.25424,38.27676,22.60786,13.56492
79,Mara,20.96128,33.13354,29.77521,24.30006,32.45572,35.97252,32.92985,29.75268,38.29323,44.51956,31.5447,41.30596,3.12741,6.98187,6.94354,10.46398,11.21556,14.47204,42.98146,30.13192,24.98802,20.71641,24.78402,8.24948
81,Mbeya,26.49605,45.59011,41.26867,55.82677,42.05484,48.38686,48.05307,21.00684,29.35229,19.5133,36.66309,19.86079,9.59052,15.94146,9.77111,9.2394,8.79816,2.84505,15.86035,17.46158,19.60792,15.42053,12.4839,28.9073
