,Region,sanitation_basic_2005,sanitation_basic_2008,sanitation_basic_2010,sanitation_basic_2012,sanitation_basic_2016,sanitation_basic_2017,sanitation_unimproved_2005,sanitation_unimproved_2008,sanitation_unimproved_2010,sanitation_unimproved_2012,sanitation_unimproved_2016,sanitation_unimproved_2017,sanitation_limited_2005,sanitation_limited_2008,sanitation_limited_2010,sanitation_limited_2012,sanitation_limited_2016,sanitation_limited_2017,sanitation_opendef_2005,sanitation_opendef_2008,sanitation_opendef_2010,sanitation_opendef_2012,sanitation_opendef_2016,sanitation_opendef_2017
7,Arusha,8.89419,8.15326,8.20415,12.36102,25.2522,55.42895,53.97192,47.73611,52.29515,50.95789,37.12112,8.93255,9.3563,8.57688,8.63041,7.49078,18.35768,23.9237,27.77759,35.53375,30.87029,29.1903,19.269,11.7148
9,Dar Es Salaam,18.15037,22.17716,24.83101,36.41636,54.72797,43.43455,68.77048,61.99941,56.90884,22.97055,6.13163,5.7699,12.92293,15.78998,17.6795,40.25087,39.11605,50.72939,0.15622,0.03345,0.58065,0.36221,0.02435,0.06616
20,Dodoma,5.49051,6.00097,5.23471,15.97591,10.90026,16.2977,81.66229,71.68034,73.54771,46.39194,76.25918,76.821,1.86687,2.04044,1.7799,18.07448,5.9514,2.87941,10.98033,20.27825,19.43768,19.55768,6.88917,4.0019
30,Iringa,24.79864,25.64703,30.54323,26.89619,20.01617,39.48259,66.31094,64.97687,63.11439,69.46203,60.996,42.99133,4.10659,4.24708,5.05787,3.63771,17.45834,16.48218,4.78384,5.12901,1.28451,0.00407,1.52949,1.0439
34,Kagera,3.97841,5.93431,7.91508,15.61137,8.7766,24.23968,84.09358,76.80486,78.17832,73.38089,84.78077,58.29439,0.79154,1.18069,1.57478,3.57445,4.4744,15.2315,11.13646,16.08014,12.33182,7.4333,1.96823,2.23443
40,Kigoma,7.95048,8.29024,10.93034,19.41403,12.04159,34.36682,79.68843,77.74359,80.179,65.67922,74.59113,44.90785,4.51929,4.71243,6.21314,9.1449,3.78111,17.49807,7.84179,9.25373,2.67752,5.76185,9.58617,3.22725
51,Kilimanjaro,14.34493,14.53908,15.98993,56.36245,49.25062,67.50517,78.01438,77.45214,75.64407,30.56693,35.2405,22.55371,6.69802,6.78867,7.46611,12.44188,13.03514,9.30129,0.94267,1.22011,0.89989,0.62874,2.47374,0.63983
58,Lindi,30.33396,26.28608,26.77994,25.93847,8.17865,47.92604,55.90402,50.25972,56.55211,57.56094,84.21216,29.05327,6.91937,5.99602,6.10867,4.20219,4.11546,20.14632,6.84266,17.45817,10.55927,12.2984,3.49372,2.87437
65,Manyara,4.11644,7.30548,7.25644,4.6047,10.47921,40.96797,77.54433,66.75131,64.15645,70.60697,62.15503,33.50341,0.48133,0.85422,0.84848,1.65147,3.04418,17.33506,17.8579,25.08899,27.73863,23.13686,24.32159,8.19356
77,Mara,2.6947,8.04218,7.66587,14.28488,15.17023,39.1655,54.57723,56.03261,50.04399,35.22938,46.72357,14.47508,1.41132,4.212,4.01491,12.90005,9.67339,27.02206,41.31676,31.71321,38.27524,37.58569,28.43281,19.33737
