,Indicator,Unit,Subgroup,Area,Area ID,Time Period,Source,Data Value,Footnotes
3016,Human development index,Percent,Female,Arusha,TZA001002,2012,NBS/MoFP_Tanzania Human Development Report_2014,0.677,
3018,Human development index,Percent,Female,Dodoma,TZA001001,2012,NBS/MoFP_Tanzania Human Development Report_2014,0.413,
3019,Human development index,Percent,Female,Geita,TZA001025,2012,NBS/MoFP_Tanzania Human Development Report_2014,0.493,
3020,Human development index,Percent,Female,Iringa,TZA001011,2012,NBS/MoFP_Tanzania Human Development Report_2014,0.676,
3021,Human development index,Percent,Female,Kagera,TZA001018,2012,NBS/MoFP_Tanzania Human Development Report_2014,0.44,
3022,Human development index,Percent,Female,Katavi,TZA001023,2012,NBS/MoFP_Tanzania Human Development Report_2014,0.51,
3023,Human development index,Percent,Female,Kigoma,TZA001016,2012,NBS/MoFP_Tanzania Human Development Report_2014,0.301,
3024,Human development index,Percent,Female,Kilimanjaro,TZA001003,2012,NBS/MoFP_Tanzania Human Development Report_2014,0.678,
3025,Human development index,Percent,Female,Lindi,TZA001008,2012,NBS/MoFP_Tanzania Human Development Report_2014,0.591,
3027,Human development index,Percent,Female,Manyara,TZA001021,2012,NBS/MoFP_Tanzania Human Development Report_2014,0.546,
3028,Human development index,Percent,Female,Mara,TZA001020,2012,NBS/MoFP_Tanzania Human Development Report_2014,0.571,
3029,Human development index,Percent,Female,Mbeya,TZA001012,2012,NBS/MoFP_Tanzania Human Development Report_2014,0.626,
3030,Human development index,Percent,Female,Morogoro,TZA001005,2012,NBS/MoFP_Tanzania Human Development Report_2014,0.577,
3031,Human development index,Percent,Female,Mtwara,TZA001009,2012,NBS/MoFP_Tanzania Human Development Report_2014,0.582,
3032,Human development index,Percent,Female,Pwani,TZA001006,2012,NBS/MoFP_Tanzania Human Development Report_2014,0.482,
3033,Human development index,Percent,Female,Rukwa,TZA001015,2012,NBS/MoFP_Tanzania Human Development Report_2014,0.51,
3034,Human development index,Percent,Female,Ruvuma,TZA001010,2012,NBS/MoFP_Tanzania Human Development Report_2014,0.626,
3035,Human development index,Percent,Female,Shinyanga,TZA001017,2012,NBS/MoFP_Tanzania Human Development Report_2014,0.485,
3036,Human development index,Percent,Female,Simiyu,TZA001024,2012,NBS/MoFP_Tanzania Human Development Report_2014,0.489,
3037,Human development index,Percent,Female,Singida,TZA001013,2012,NBS/MoFP_Tanzania Human Development Report_2014,0.373,
3038,Human development index,Percent,Female,Tabora,TZA001014,2012,NBS/MoFP_Tanzania Human Development Report_2014,0.416,
3039,Human development index,Percent,Female,Tanga,TZA001004,2012,NBS/MoFP_Tanzania Human Development Report_2014,0.605,
3040,Human development index,Percent,Male,Arusha,TZA001002,2012,NBS/MoFP_Tanzania Human Development Report_2014,0.761,
3042,Human development index,Percent,Male,Dodoma,TZA001001,2012,NBS/MoFP_Tanzania Human Development Report_2014,0.536,
3043,Human development index,Percent,Male,Geita,TZA001025,2012,NBS/MoFP_Tanzania Human Development Report_2014,0.601,
3044,Human development index,Percent,Male,Iringa,TZA001011,2012,NBS/MoFP_Tanzania Human Development Report_2014,0.707,
3045,Human development index,Percent,Male,Kagera,TZA001018,2012,NBS/MoFP_Tanzania Human Development Report_2014,0.536,
3046,Human development index,Percent,Male,Katavi,TZA001023,2012,NBS/MoFP_Tanzania Human Development Report_2014,0.617,
3047,Human development index,Percent,Male,Kigoma,TZA001016,2012,NBS/MoFP_Tanzania Human Development Report_2014,0.501,
3048,Human development index,Percent,Male,Kilimanjaro,TZA001003,2012,NBS/MoFP_Tanzania Human Development Report_2014,0.755,
3049,Human development index,Percent,Male,Lindi,TZA001008,2012,NBS/MoFP_Tanzania Human Development Report_2014,0.661,
3051,Human development index,Percent,Male,Manyara,TZA001021,2012,NBS/MoFP_Tanzania Human Development Report_2014,0.688,
3052,Human development index,Percent,Male,Mara,TZA001020,2012,NBS/MoFP_Tanzania Human Development Report_2014,0.664,
3053,Human development index,Percent,Male,Mbeya,TZA001012,2012,NBS/MoFP_Tanzania Human Development Report_2014,0.707,
3054,Human development index,Percent,Male,Morogoro,TZA001005,2012,NBS/MoFP_Tanzania Human Development Report_2014,0.655,
3055,Human development index,Percent,Male,Mtwara,TZA001009,2012,NBS/MoFP_Tanzania Human Development Report_2014,0.652,
3056,Human development index,Percent,Male,Pwani,TZA001006,2012,NBS/MoFP_Tanzania Human Development Report_2014,0.606,
3057,Human development index,Percent,Male,Rukwa,TZA001015,2012,NBS/MoFP_Tanzania Human Development Report_2014,0.617,
3058,Human development index,Percent,Male,Ruvuma,TZA001010,2012,NBS/MoFP_Tanzania Human Development Report_2014,0.707,
3059,Human development index,Percent,Male,Shinyanga,TZA001017,2012,NBS/MoFP_Tanzania Human Development Report_2014,0.589,
3060,Human development index,Percent,Male,Simiyu,TZA001024,2012,NBS/MoFP_Tanzania Human Development Report_2014,0.595,
3061,Human development index,Percent,Male,Singida,TZA001013,2012,NBS/MoFP_Tanzania Human Development Report_2014,0.539,
3062,Human development index,Percent,Male,Tabora,TZA001014,2012,NBS/MoFP_Tanzania Human Development Report_2014,0.583,
3063,Human development index,Percent,Male,Tanga,TZA001004,2012,NBS/MoFP_Tanzania Human Development Report_2014,0.708,
3064,Human development index,Percent,Total,Arusha,TZA001002,2012,NBS/MoFP_Tanzania Human Development Report_2014,0.721,
3066,Human development index,Percent,Total,Dodoma,TZA001001,2012,NBS/MoFP_Tanzania Human Development Report_2014,0.487,
3067,Human development index,Percent,Total,Geita,TZA001025,2012,NBS/MoFP_Tanzania Human Development Report_2014,0.555,
3068,Human development index,Percent,Total,Iringa,TZA001011,2012,NBS/MoFP_Tanzania Human Development Report_2014,0.693,
3069,Human development index,Percent,Total,Kagera,TZA001018,2012,NBS/MoFP_Tanzania Human Development Report_2014,0.494,
3070,Human development index,Percent,Total,Katavi,TZA001023,2012,NBS/MoFP_Tanzania Human Development Report_2014,0.57,
3071,Human development index,Percent,Total,Kigoma,TZA001016,2012,NBS/MoFP_Tanzania Human Development Report_2014,0.426,
3072,Human development index,Percent,Total,Kilimanjaro,TZA001003,2012,NBS/MoFP_Tanzania Human Development Report_2014,0.719,
3073,Human development index,Percent,Total,Lindi,TZA001008,2012,NBS/MoFP_Tanzania Human Development Report_2014,0.628,
3075,Human development index,Percent,Total,Manyara,TZA001021,2012,NBS/MoFP_Tanzania Human Development Report_2014,0.633,
3076,Human development index,Percent,Total,Mara,TZA001020,2012,NBS/MoFP_Tanzania Human Development Report_2014,0.62,
3077,Human development index,Percent,Total,Mbeya,TZA001012,2012,NBS/MoFP_Tanzania Human Development Report_2014,0.668,
3078,Human development index,Percent,Total,Morogoro,TZA001005,2012,NBS/MoFP_Tanzania Human Development Report_2014,0.62,
3079,Human development index,Percent,Total,Mtwara,TZA001009,2012,NBS/MoFP_Tanzania Human Development Report_2014,0.618,
3080,Human development index,Percent,Total,Pwani,TZA001006,2012,NBS/MoFP_Tanzania Human Development Report_2014,0.549,
