,Indicator,Unit,Subgroup,Area,Area ID,Time Period,Source,Data Value,Footnotes
41320,Planted area,Ha,Total,Kilimanjaro,TZA001003,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,469810,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
41321,Planted area,Ha,Total,Tanga,TZA001004,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,1230360,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
41322,Planted area,Ha,Total,Morogoro,TZA001005,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,521898,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
41323,Planted area,Ha,Total,Pwani,TZA001006,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,509849,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42890,Planted area,Ha,Total,Lindi,TZA001008,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,824361,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42891,Planted area,Ha,Total,Mtwara,TZA001009,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,683379,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42892,Planted area,Ha,Total,Ruvuma,TZA001010,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,357819,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42893,Planted area,Ha,Total,Iringa,TZA001011,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,366572,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42894,Planted area,Ha,Total,Mbeya,TZA001012,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,828307,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42895,Planted area,Ha,Total,Singida,TZA001013,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,793718,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42896,Planted area,Ha,Total,Tabora,TZA001014,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,1591038,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42897,Planted area,Ha,Total,Rukwa,TZA001015,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,396950,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42898,Planted area,Ha,Total,Kigoma,TZA001016,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,838216,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42899,Planted area,Ha,Total,Shinyanga,TZA001017,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,1065526,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42900,Planted area,Ha,Total,Kagera,TZA001018,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,585655,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42901,Planted area,Ha,Total,Mwanza,TZA001019,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,833188,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42902,Planted area,Ha,Total,Mara,TZA001020,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,612797,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42903,Planted area,Ha,Total,Manyara,TZA001021,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,773224,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42904,Planted area,Ha,Total,Njombe,TZA001022,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,192820,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42905,Planted area,Ha,Total,Katavi,TZA001023,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,298859,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42906,Planted area,Ha,Total,Simiyu,TZA001024,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,887667,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42907,Planted area,Ha,Total,Geita,TZA001025,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,969064,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42909,Planted area,Ha,Total,Kaskazini Unguja,TZA002051,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,40905,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42910,Planted area,Ha,Total,Kusini Unguja,TZA002052,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,44261,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
42911,Planted area,Ha,Total,Mjini Magharibi,TZA002053,2014-2015,NBS_Annual Agricultural Sample Survey_2014-2015,15864,"TZA_Annual Agricultural Sample Survey,2014-2015, National Bureau of Statistics, Tanzania_2014-2015"
