,Indicator,Unit,Subgroup,Area,Area ID,Time Period,Source,Data Value,Footnotes
4313,Children under-5 years with diarrhoea,Percent,Total,Lindi,TZA001008,2004-2005,NBS_ TDHS (2004-2005)_2005,16.3,"TZA_ Demographic & Health Survey, 2004-2005, National Bureau of Statistics, Tanzania, December 2005"
4314,Children under-5 years with diarrhoea,Percent,Total,Mtwara,TZA001009,2004-2005,NBS_ TDHS (2004-2005)_2005,16.1,"TZA_ Demographic & Health Survey, 2004-2005, National Bureau of Statistics, Tanzania, December 2005"
4315,Children under-5 years with diarrhoea,Percent,Total,Ruvuma,TZA001010,2004-2005,NBS_ TDHS (2004-2005)_2005,17.4,"TZA_ Demographic & Health Survey, 2004-2005, National Bureau of Statistics, Tanzania, December 2005"
4316,Children under-5 years with diarrhoea,Percent,Total,Iringa,TZA001011,2004-2005,NBS_ TDHS (2004-2005)_2005,18.3,"TZA_ Demographic & Health Survey, 2004-2005, National Bureau of Statistics, Tanzania, December 2005"
4317,Children under-5 years with diarrhoea,Percent,Total,Mbeya,TZA001012,2004-2005,NBS_ TDHS (2004-2005)_2005,12.3,"TZA_ Demographic & Health Survey, 2004-2005, National Bureau of Statistics, Tanzania, December 2005"
4318,Children under-5 years with diarrhoea,Percent,Total,Singida,TZA001013,2004-2005,NBS_ TDHS (2004-2005)_2005,15.6,"TZA_ Demographic & Health Survey, 2004-2005, National Bureau of Statistics, Tanzania, December 2005"
4319,Children under-5 years with diarrhoea,Percent,Total,Arusha,TZA001002,2004-2005,NBS_ TDHS (2004-2005)_2005,10.8,"TZA_ Demographic & Health Survey, 2004-2005, National Bureau of Statistics, Tanzania, December 2005"
4321,Children under-5 years with diarrhoea,Percent,Total,Tabora,TZA001014,2004-2005,NBS_ TDHS (2004-2005)_2005,12.9,"TZA_ Demographic & Health Survey, 2004-2005, National Bureau of Statistics, Tanzania, December 2005"
4322,Children under-5 years with diarrhoea,Percent,Total,Rukwa,TZA001015,2004-2005,NBS_ TDHS (2004-2005)_2005,9.9,"TZA_ Demographic & Health Survey, 2004-2005, National Bureau of Statistics, Tanzania, December 2005"
4323,Children under-5 years with diarrhoea,Percent,Total,Kigoma,TZA001016,2004-2005,NBS_ TDHS (2004-2005)_2005,26.9,"TZA_ Demographic & Health Survey, 2004-2005, National Bureau of Statistics, Tanzania, December 2005"
4325,Children under-5 years with diarrhoea,Percent,Total,Kagera,TZA001018,2004-2005,NBS_ TDHS (2004-2005)_2005,7.4,"TZA_ Demographic & Health Survey, 2004-2005, National Bureau of Statistics, Tanzania, December 2005"
4326,Children under-5 years with diarrhoea,Percent,Total,Mwanza,TZA001019,2004-2005,NBS_ TDHS (2004-2005)_2005,7.3,"TZA_ Demographic & Health Survey, 2004-2005, National Bureau of Statistics, Tanzania, December 2005"
4327,Children under-5 years with diarrhoea,Percent,Total,Mara,TZA001020,2004-2005,NBS_ TDHS (2004-2005)_2005,14.7,"TZA_ Demographic & Health Survey, 2004-2005, National Bureau of Statistics, Tanzania, December 2005"
4328,Children under-5 years with diarrhoea,Percent,Total,Manyara,TZA001021,2004-2005,NBS_ TDHS (2004-2005)_2005,11,"TZA_ Demographic & Health Survey, 2004-2005, National Bureau of Statistics, Tanzania, December 2005"
4329,Children under-5 years with diarrhoea,Percent,Total,Kilimanjaro,TZA001003,2004-2005,NBS_ TDHS (2004-2005)_2005,7.7,"TZA_ Demographic & Health Survey, 2004-2005, National Bureau of Statistics, Tanzania, December 2005"
4331,Children under-5 years with diarrhoea,Percent,Total,Kaskazini Unguja,TZA002051,2004-2005,NBS_ TDHS (2004-2005)_2005,10.5,"TZA_ Demographic & Health Survey, 2004-2005, National Bureau of Statistics, Tanzania, December 2005"
4332,Children under-5 years with diarrhoea,Percent,Total,Kusini Unguja,TZA002052,2004-2005,NBS_ TDHS (2004-2005)_2005,10.8,"TZA_ Demographic & Health Survey, 2004-2005, National Bureau of Statistics, Tanzania, December 2005"
4333,Children under-5 years with diarrhoea,Percent,Total,Mjini Magharibi,TZA002053,2004-2005,NBS_ TDHS (2004-2005)_2005,15.5,"TZA_ Demographic & Health Survey, 2004-2005, National Bureau of Statistics, Tanzania, December 2005"
4334,Children under-5 years with diarrhoea,Percent,Total,Kaskazini Pemba,TZA002054,2004-2005,NBS_ TDHS (2004-2005)_2005,12.8,"TZA_ Demographic & Health Survey, 2004-2005, National Bureau of Statistics, Tanzania, December 2005"
4335,Children under-5 years with diarrhoea,Percent,Total,Kusini Pemba,TZA002055,2004-2005,NBS_ TDHS (2004-2005)_2005,14.4,"TZA_ Demographic & Health Survey, 2004-2005, National Bureau of Statistics, Tanzania, December 2005"
4337,Children under-5 years with diarrhoea,Percent,Total,Tanga,TZA001004,2004-2005,NBS_ TDHS (2004-2005)_2005,11,"TZA_ Demographic & Health Survey, 2004-2005, National Bureau of Statistics, Tanzania, December 2005"
4338,Children under-5 years with diarrhoea,Percent,Total,Dodoma,TZA001001,2004-2005,NBS_ TDHS (2004-2005)_2005,19.1,"TZA_ Demographic & Health Survey, 2004-2005, National Bureau of Statistics, Tanzania, December 2005"
4339,Children under-5 years with diarrhoea,Percent,Total,Morogoro,TZA001005,2004-2005,NBS_ TDHS (2004-2005)_2005,12.1,"TZA_ Demographic & Health Survey, 2004-2005, National Bureau of Statistics, Tanzania, December 2005"
4340,Children under-5 years with diarrhoea,Percent,Total,Pwani,TZA001006,2004-2005,NBS_ TDHS (2004-2005)_2005,8.8,"TZA_ Demographic & Health Survey, 2004-2005, National Bureau of Statistics, Tanzania, December 2005"
4342,Children under-5 years with diarrhoea,Percent,Total,Shinyanga,TZA001017,2004-2005,NBS_ TDHS (2004-2005)_2005,11.2,"TZA_ Demographic & Health Survey, 2004-2005, National Bureau of Statistics, Tanzania, December 2005"
6128,Children under-5 years with diarrhoea,Percent,Total,Mtwara,TZA001009,2010,NBS_ TDHS (2010)_2011,13.7,"TZA_ Demographic & Health Survey, 2010, National Bureau of Statistics, Tanzania, April 2011"
6129,Children under-5 years with diarrhoea,Percent,Total,Ruvuma,TZA001010,2010,NBS_ TDHS (2010)_2011,9.7,"TZA_ Demographic & Health Survey, 2010, National Bureau of Statistics, Tanzania, April 2011"
6130,Children under-5 years with diarrhoea,Percent,Total,Iringa,TZA001011,2010,NBS_ TDHS (2010)_2011,15.3,"TZA_ Demographic & Health Survey, 2010, National Bureau of Statistics, Tanzania, April 2011"
6131,Children under-5 years with diarrhoea,Percent,Total,Mbeya,TZA001012,2010,NBS_ TDHS (2010)_2011,17.6,"TZA_ Demographic & Health Survey, 2010, National Bureau of Statistics, Tanzania, April 2011"
6132,Children under-5 years with diarrhoea,Percent,Total,Singida,TZA001013,2010,NBS_ TDHS (2010)_2011,15.9,"TZA_ Demographic & Health Survey, 2010, National Bureau of Statistics, Tanzania, April 2011"
6133,Children under-5 years with diarrhoea,Percent,Total,Arusha,TZA001002,2010,NBS_ TDHS (2010)_2011,12.6,"TZA_ Demographic & Health Survey, 2010, National Bureau of Statistics, Tanzania, April 2011"
6134,Children under-5 years with diarrhoea,Percent,Total,Tabora,TZA001014,2010,NBS_ TDHS (2010)_2011,10,"TZA_ Demographic & Health Survey, 2010, National Bureau of Statistics, Tanzania, April 2011"
6135,Children under-5 years with diarrhoea,Percent,Total,Rukwa,TZA001015,2010,NBS_ TDHS (2010)_2011,10.4,"TZA_ Demographic & Health Survey, 2010, National Bureau of Statistics, Tanzania, April 2011"
6136,Children under-5 years with diarrhoea,Percent,Total,Kigoma,TZA001016,2010,NBS_ TDHS (2010)_2011,28.8,"TZA_ Demographic & Health Survey, 2010, National Bureau of Statistics, Tanzania, April 2011"
6138,Children under-5 years with diarrhoea,Percent,Total,Kagera,TZA001018,2010,NBS_ TDHS (2010)_2011,24,"TZA_ Demographic & Health Survey, 2010, National Bureau of Statistics, Tanzania, April 2011"
6139,Children under-5 years with diarrhoea,Percent,Total,Mwanza,TZA001019,2010,NBS_ TDHS (2010)_2011,13.7,"TZA_ Demographic & Health Survey, 2010, National Bureau of Statistics, Tanzania, April 2011"
6140,Children under-5 years with diarrhoea,Percent,Total,Mara,TZA001020,2010,NBS_ TDHS (2010)_2011,17.7,"TZA_ Demographic & Health Survey, 2010, National Bureau of Statistics, Tanzania, April 2011"
6141,Children under-5 years with diarrhoea,Percent,Total,Manyara,TZA001021,2010,NBS_ TDHS (2010)_2011,8.8,"TZA_ Demographic & Health Survey, 2010, National Bureau of Statistics, Tanzania, April 2011"
