,Indicator,Unit,Subgroup,Area,Area ID,Time Period,Source,Data Value,Footnotes
897,Water coverage,Percent,Rural,Katavi,TZA001023,2012,EWURA_Water Utilities Performance Review_Yearly,53,
898,Water coverage,Percent,Rural,Kilimanjaro,TZA001003,2008,EWURA_Water Utilities Performance Review_Yearly,68.8,
899,Water coverage,Percent,Rural,Kilimanjaro,TZA001003,2009,EWURA_Water Utilities Performance Review_Yearly,69.09,
900,Water coverage,Percent,Rural,Kilimanjaro,TZA001003,2010,EWURA_Water Utilities Performance Review_Yearly,68.89,
901,Water coverage,Percent,Rural,Kilimanjaro,TZA001003,2011,EWURA_Water Utilities Performance Review_Yearly,73.07,
902,Water coverage,Percent,Rural,Kilimanjaro,TZA001003,2012,EWURA_Water Utilities Performance Review_Yearly,74.4445927052533,
903,Water coverage,Percent,Rural,Lindi,TZA001008,2008,EWURA_Water Utilities Performance Review_Yearly,54.4,
904,Water coverage,Percent,Rural,Lindi,TZA001008,2009,EWURA_Water Utilities Performance Review_Yearly,51.01,
905,Water coverage,Percent,Rural,Lindi,TZA001008,2010,EWURA_Water Utilities Performance Review_Yearly,40.12,
906,Water coverage,Percent,Rural,Lindi,TZA001008,2011,EWURA_Water Utilities Performance Review_Yearly,41.38,
907,Water coverage,Percent,Rural,Lindi,TZA001008,2012,EWURA_Water Utilities Performance Review_Yearly,37.1209637360833,
908,Water coverage,Percent,Rural,Manyara,TZA001021,2008,EWURA_Water Utilities Performance Review_Yearly,53.4,
909,Water coverage,Percent,Rural,Manyara,TZA001021,2009,EWURA_Water Utilities Performance Review_Yearly,52.54,
910,Water coverage,Percent,Rural,Manyara,TZA001021,2010,EWURA_Water Utilities Performance Review_Yearly,52.85,
911,Water coverage,Percent,Rural,Manyara,TZA001021,2011,EWURA_Water Utilities Performance Review_Yearly,63.01,
912,Water coverage,Percent,Rural,Manyara,TZA001021,2012,EWURA_Water Utilities Performance Review_Yearly,62.9080078919641,
913,Water coverage,Percent,Rural,Mbeya,TZA001012,2008,EWURA_Water Utilities Performance Review_Yearly,59.6,
914,Water coverage,Percent,Rural,Mbeya,TZA001012,2009,EWURA_Water Utilities Performance Review_Yearly,61.21,
915,Water coverage,Percent,Rural,Mbeya,TZA001012,2010,EWURA_Water Utilities Performance Review_Yearly,60.04,
916,Water coverage,Percent,Rural,Mbeya,TZA001012,2011,EWURA_Water Utilities Performance Review_Yearly,60.04,
917,Water coverage,Percent,Rural,Mbeya,TZA001012,2012,EWURA_Water Utilities Performance Review_Yearly,52.6853608990094,
918,Water coverage,Percent,Rural,Mara,TZA001020,2008,EWURA_Water Utilities Performance Review_Yearly,51.1,
919,Water coverage,Percent,Rural,Mara,TZA001020,2009,EWURA_Water Utilities Performance Review_Yearly,54.07,
