ISO3,Country,Region,Service Type,Year,Coverage,Service level
TZA,United Republic of Tanzania,Arusha,Drinking water,2005,44.77583,At least basic
TZA,United Republic of Tanzania,Arusha,Drinking water,2005,14.4242,Unimproved
TZA,United Republic of Tanzania,Arusha,Sanitation,2005,53.97192,Unimproved
TZA,United Republic of Tanzania,Arusha,Sanitation,2005,27.77759,Open defecation
TZA,United Republic of Tanzania,Arusha,Sanitation,2005,9.3563,Limited service
TZA,United Republic of Tanzania,Arusha,Drinking water,2005,22.72813,Limited service
TZA,United Republic of Tanzania,Arusha,Drinking water,2005,18.07185,Surface water
TZA,United Republic of Tanzania,Arusha,Sanitation,2005,8.89419,At least basic
TZA,United Republic of Tanzania,Dar Es Salam,Drinking water,2005,7.30727,Unimproved
TZA,United Republic of Tanzania,Dar Es Salam,Sanitation,2005,18.15037,At least basic
TZA,United Republic of Tanzania,Dar Es Salam,Sanitation,2005,12.92293,Limited service
TZA,United Republic of Tanzania,Dar Es Salam,Sanitation,2005,0.15622,Open defecation
TZA,United Republic of Tanzania,Dar Es Salam,Sanitation,2005,68.77048,Unimproved
TZA,United Republic of Tanzania,Dar Es Salam,Drinking water,2005,0.16518,Surface water
TZA,United Republic of Tanzania,Dar Es Salam,Drinking water,2005,2.64396,Limited service
TZA,United Republic of Tanzania,Dar Es Salam,Drinking water,2005,89.88359,At least basic
TZA,United Republic of Tanzania,Dodoma,Sanitation,2005,10.98033,Open defecation
TZA,United Republic of Tanzania,Dodoma,Sanitation,2005,81.66229,Unimproved
TZA,United Republic of Tanzania,Dodoma,Drinking water,2005,53.39603,At least basic
TZA,United Republic of Tanzania,Dodoma,Sanitation,2005,1.86687,Limited service
TZA,United Republic of Tanzania,Dodoma,Sanitation,2005,5.49051,At least basic
TZA,United Republic of Tanzania,Dodoma,Drinking water,2005,21.82564,Limited service
TZA,United Republic of Tanzania,Dodoma,Drinking water,2005,13.38491,Unimproved
TZA,United Republic of Tanzania,Dodoma,Drinking water,2005,11.39342,Surface water
TZA,United Republic of Tanzania,Iringa,Drinking water,2005,38.37422,At least basic
TZA,United Republic of Tanzania,Iringa,Sanitation,2005,4.10659,Limited service
TZA,United Republic of Tanzania,Iringa,Sanitation,2005,4.78384,Open defecation
TZA,United Republic of Tanzania,Iringa,Drinking water,2005,17.45441,Surface water
TZA,United Republic of Tanzania,Iringa,Drinking water,2005,29.63886,Unimproved
TZA,United Republic of Tanzania,Iringa,Drinking water,2005,14.5325,Limited service
TZA,United Republic of Tanzania,Iringa,Sanitation,2005,24.79864,At least basic
