Variable:,pr
,"Tanzania, United Republic of",Arusha,Dar-es-salaam,Dodoma,Kigoma,Kilimanjaro,Lindi,Manyara,Mara,Mbeya,Morogoro,Mtwara,"Kaskazini Pemba","Kaskazini Unguja",Pwani,Ruvuma,Singida,"Kusini Pemba","Kusini Unguja",Tabora,Tanga,"Mjini Magharibi",Geita,Iringa,Kagera,Katavi,Mwanza,Njombe,Rukwa,Shinyanga,Simiyu
1901,913.93,729.92,1287.51,622.85,858.18,1037.47,1428.72,796.39,905.88,784.97,1422.17,877.99,1408.90,1417.93,1443.89,1232.27,455.33,1408.90,1466.77,484.09,1248.66,1448.80,672.31,847.35,987.52,714.23,771.56,1121.76,925.81,490.31,626.50
1902,930.24,797.45,1181.96,709.74,808.44,1125.81,1350.67,886.91,1004.97,856.47,1386.81,953.10,1258.50,1248.39,1275.85,1428.08,497.52,1258.50,1269.09,405.66,1180.20,1257.10,554.40,919.35,1037.95,649.98,822.76,1397.55,934.96,426.76,579.57
1903,1116.72,682.16,1151.72,665.30,1276.39,878.07,1737.30,724.99,1187.61,903.82,1407.41,1343.01,1097.90,1119.56,1386.60,1338.94,728.38,1097.90,1188.35,1085.10,988.93,1178.90,1170.41,859.75,1348.24,1250.56,1176.03,1167.63,1048.62,1010.25,807.06
1904,1150.17,783.99,1428.31,675.51,1042.26,1272.95,1993.11,877.92,957.85,1068.44,1568.18,1625.42,1477.40,1430.80,1633.59,1688.27,660.80,1477.40,1463.77,810.38,1264.51,1443.50,877.27,978.44,1100.38,959.79,930.26,1695.63,1052.32,782.72,744.61
1905,1085.61,894.87,1252.47,812.29,1120.94,1306.52,1400.92,1008.60,1037.26,922.27,1418.34,973.60,1381.30,1418.19,1393.36,1330.34,760.93,1381.30,1407.38,929.72,1288.44,1392.30,985.72,951.55,1176.11,1045.73,1004.98,1226.54,1039.96,873.73,800.12
1906,1169.01,975.97,1526.85,790.16,1069.68,1465.83,2129.43,1056.03,1247.04,830.14,1667.47,1591.02,1749.90,1734.87,1825.05,1406.15,617.43,1749.90,1778.28,805.33,1533.24,1752.80,955.54,927.28,1188.96,900.67,1066.96,1217.10,819.30,837.83,843.60
1907,914.07,585.17,845.17,520.15,1019.16,840.93,1509.52,596.66,945.94,701.83,1235.93,1365.73,932.20,909.49,1062.18,1303.32,521.72,932.20,911.95,706.41,858.47,899.20,879.65,813.32,1192.13,825.30,963.28,1042.62,713.14,731.07,645.45
1908,1000.13,682.17,1075.14,607.90,1097.23,1111.63,1447.09,804.05,1029.95,845.30,1241.43,1231.84,1280.20,1215.22,1218.03,1343.83,626.65,1280.20,1219.05,845.89,1116.32,1199.20,981.81,843.12,1133.78,944.37,1009.89,1150.34,881.85,867.42,759.17
1909,808.74,618.14,1019.95,457.27,884.31,984.55,1279.22,620.95,975.51,594.71,1085.21,1108.87,1292.10,1188.60,1142.17,1012.58,403.96,1292.10,1183.24,498.24,1057.97,1159.80,746.32,670.68,1141.27,682.12,921.52,844.78,635.05,584.32,612.24
1910,902.42,628.74,974.37,527.23,994.24,949.67,1480.43,671.63,860.19,744.70,1215.27,1201.54,986.90,964.20,1183.28,1181.42,512.64,986.90,985.88,686.45,907.63,973.00,839.65,781.68,1112.38,845.99,917.09,984.29,761.47,700.77,605.41
