,Region,Year,Type,Percentage
0,Kagera,2005,surface,41.74589
0,Mara,2005,surface,42.98146
0,Mwanza,2005,surface,28.73255
0,Shinyanga,2005,surface,13.66871
0,Kilimanjaro,2005,surface,14.80378
0,Kigoma,2005,surface,30.79139
0,Singida,2005,surface,25.95464
0,Tabora,2005,surface,8.09476
0,Tanga,2005,surface,22.42035
0,Dodoma,2005,surface,11.39342
0,Morogoro,2005,surface,18.49634
0,Rukwa,2005,surface,32.90715
0,Iringa,2005,surface,17.45441
0,Mbeya,2005,surface,15.86035
0,Lindi,2005,surface,4.74401
0,Ruvuma,2005,surface,14.37168
0,Mtwara,2005,surface,20.59458
0,Pwani,2005,surface,1.63603
0,Dar-es-salaam,2005,surface,0.16518
0,Arusha,2005,surface,18.07185
0,Manyara,2005,surface,5.8488
0,Kagera,2008,surface,30.54517
0,Mara,2008,surface,30.13192
0,Mwanza,2008,surface,25.50397
0,Shinyanga,2008,surface,11.76026
0,Kilimanjaro,2008,surface,9.79001
0,Kigoma,2008,surface,28.15085
0,Singida,2008,surface,40.94203
0,Tabora,2008,surface,4.8805
0,Tanga,2008,surface,27.03617
0,Dodoma,2008,surface,20.27097
0,Morogoro,2008,surface,19.29125
0,Rukwa,2008,surface,12.11955
0,Iringa,2008,surface,19.64523
0,Mbeya,2008,surface,17.46158
0,Lindi,2008,surface,14.81824
0,Ruvuma,2008,surface,11.11612
0,Mtwara,2008,surface,27.53037
0,Pwani,2008,surface,12.82569
0,Dar-es-salaam,2008,surface,0.03387
0,Arusha,2008,surface,16.5455
0,Manyara,2008,surface,28.04325
0,Kagera,2010,surface,32.00263
0,Mara,2010,surface,24.98802
0,Mwanza,2010,surface,8.51661
0,Shinyanga,2010,surface,16.81586
0,Kilimanjaro,2010,surface,12.48408
0,Kigoma,2010,surface,30.18472
0,Singida,2010,surface,33.86051
0,Tabora,2010,surface,5.92281
0,Tanga,2010,surface,33.71722
0,Dodoma,2010,surface,21.01901
0,Morogoro,2010,surface,20.61288
0,Rukwa,2010,surface,29.13095
0,Iringa,2010,surface,25.94493
0,Mbeya,2010,surface,19.60792
0,Lindi,2010,surface,15.22064
0,Ruvuma,2010,surface,12.35831
0,Mtwara,2010,surface,24.19308
0,Pwani,2010,surface,4.12146
0,Dar-es-salaam,2010,surface,0.0
0,Arusha,2010,surface,13.13193
0,Manyara,2010,surface,38.25424
0,Kagera,2012,surface,36.78759
0,Mara,2012,surface,20.71641
0,Mwanza,2012,surface,10.41734
0,Shinyanga,2012,surface,32.05735
0,Kilimanjaro,2012,surface,3.48921
0,Kigoma,2012,surface,12.59565
0,Singida,2012,surface,15.86784
0,Tabora,2012,surface,1.74007
0,Tanga,2012,surface,40.38309
0,Dodoma,2012,surface,4.79744
0,Morogoro,2012,surface,16.67263
0,Rukwa,2012,surface,23.64953
0,Iringa,2012,surface,32.86971
0,Mbeya,2012,surface,15.42053
0,Lindi,2012,surface,21.83691
0,Ruvuma,2012,surface,2.94771
0,Mtwara,2012,surface,11.46773
0,Pwani,2012,surface,16.83103
0,Dar-es-salaam,2012,surface,0.0
0,Arusha,2012,surface,12.23291
0,Manyara,2012,surface,38.27676
0,Kagera,2016,surface,25.36992
0,Mara,2016,surface,24.78402
0,Mwanza,2016,surface,17.18097
0,Shinyanga,2016,surface,19.42817
0,Kilimanjaro,2016,surface,1.06125
0,Kigoma,2016,surface,5.53877
0,Singida,2016,surface,11.04476
0,Tabora,2016,surface,22.3681
0,Tanga,2016,surface,14.30946
0,Dodoma,2016,surface,0.29996
0,Morogoro,2016,surface,19.48469
0,Rukwa,2016,surface,17.84898
0,Iringa,2016,surface,14.61804
0,Mbeya,2016,surface,12.4839
0,Lindi,2016,surface,14.89809
0,Ruvuma,2016,surface,20.9443
0,Mtwara,2016,surface,1.7989
0,Pwani,2016,surface,15.65406
0,Dar-es-salaam,2016,surface,0.0
0,Arusha,2016,surface,11.43127
0,Manyara,2016,surface,22.60786
0,Kagera,2017,surface,13.91018
0,Mara,2017,surface,8.24948
0,Mwanza,2017,surface,9.07375
0,Shinyanga,2017,surface,18.46005
0,Kilimanjaro,2017,surface,1.7524
0,Kigoma,2017,surface,19.70613
0,Singida,2017,surface,6.45928
0,Tabora,2017,surface,5.72664
0,Tanga,2017,surface,12.00687
0,Dodoma,2017,surface,9.55407
0,Morogoro,2017,surface,10.08528
0,Rukwa,2017,surface,9.15448
0,Iringa,2017,surface,13.04358
0,Mbeya,2017,surface,28.9073
0,Lindi,2017,surface,7.46318
0,Ruvuma,2017,surface,3.44304
0,Mtwara,2017,surface,7.04092
0,Pwani,2017,surface,8.37175
0,Dar-es-salaam,2017,surface,0.0
0,Arusha,2017,surface,6.56372
0,Manyara,2017,surface,13.56492
0,Kagera,2005,basic,28.4837
0,Mara,2005,basic,20.96128
0,Mwanza,2005,basic,24.22248
0,Shinyanga,2005,basic,42.80197
0,Kilimanjaro,2005,basic,67.65575
0,Kigoma,2005,basic,35.15166
0,Singida,2005,basic,27.06716
0,Tabora,2005,basic,11.76049
0,Tanga,2005,basic,38.1148
0,Dodoma,2005,basic,53.39603
0,Morogoro,2005,basic,46.56648
0,Rukwa,2005,basic,32.15457
0,Iringa,2005,basic,38.37422
0,Mbeya,2005,basic,26.49605
0,Lindi,2005,basic,25.79108
0,Ruvuma,2005,basic,42.88544
0,Mtwara,2005,basic,15.10813
0,Pwani,2005,basic,34.20195
0,Dar-es-salaam,2005,basic,89.88359
0,Arusha,2005,basic,44.77583
0,Manyara,2005,basic,23.9187
0,Kagera,2008,basic,30.48809
0,Mara,2008,basic,33.13354
0,Mwanza,2008,basic,28.5682
0,Shinyanga,2008,basic,30.91106
0,Kilimanjaro,2008,basic,78.00624
0,Kigoma,2008,basic,40.38978
0,Singida,2008,basic,18.96556
0,Tabora,2008,basic,17.70008
0,Tanga,2008,basic,45.41576
0,Dodoma,2008,basic,29.19334
0,Morogoro,2008,basic,42.74148
0,Rukwa,2008,basic,33.12518
0,Iringa,2008,basic,63.29417
0,Mbeya,2008,basic,45.59011
0,Lindi,2008,basic,34.67709
0,Ruvuma,2008,basic,63.05776
0,Mtwara,2008,basic,19.35266
0,Pwani,2008,basic,40.80646
0,Dar-es-salaam,2008,basic,86.17239
0,Arusha,2008,basic,46.85551
0,Manyara,2008,basic,35.63526
0,Kagera,2010,basic,30.97666
0,Mara,2010,basic,29.77521
0,Mwanza,2010,basic,32.83715
0,Shinyanga,2010,basic,27.13602
0,Kilimanjaro,2010,basic,63.04528
0,Kigoma,2010,basic,30.31541
0,Singida,2010,basic,25.37316
0,Tabora,2010,basic,21.46572
0,Tanga,2010,basic,35.52529
0,Dodoma,2010,basic,15.79254
0,Morogoro,2010,basic,51.79732
0,Rukwa,2010,basic,34.04826
0,Iringa,2010,basic,36.96397
0,Mbeya,2010,basic,41.26867
0,Lindi,2010,basic,19.93003
0,Ruvuma,2010,basic,48.63473
0,Mtwara,2010,basic,39.06263
0,Pwani,2010,basic,53.77239
0,Dar-es-salaam,2010,basic,88.35046
0,Arusha,2010,basic,61.37929
0,Manyara,2010,basic,32.96417
0,Kagera,2012,basic,29.49304
0,Mara,2012,basic,24.30006
0,Mwanza,2012,basic,58.91555
0,Shinyanga,2012,basic,20.71896
0,Kilimanjaro,2012,basic,80.71656
0,Kigoma,2012,basic,61.85246
0,Singida,2012,basic,20.32254
0,Tabora,2012,basic,25.60701
0,Tanga,2012,basic,36.38487
0,Dodoma,2012,basic,27.33214
0,Morogoro,2012,basic,51.60368
0,Rukwa,2012,basic,31.35322
0,Iringa,2012,basic,22.6563
0,Mbeya,2012,basic,55.82677
0,Lindi,2012,basic,29.48056
0,Ruvuma,2012,basic,55.70279
0,Mtwara,2012,basic,50.82966
0,Pwani,2012,basic,56.91758
0,Dar-es-salaam,2012,basic,94.52692
0,Arusha,2012,basic,54.65171
0,Manyara,2012,basic,33.04035
0,Kagera,2016,basic,27.84752
0,Mara,2016,basic,32.45572
0,Mwanza,2016,basic,49.44132
0,Shinyanga,2016,basic,27.2866
0,Kilimanjaro,2016,basic,85.98049
0,Kigoma,2016,basic,41.6146
0,Singida,2016,basic,44.2904
0,Tabora,2016,basic,26.42822
0,Tanga,2016,basic,62.14084
0,Dodoma,2016,basic,47.78264
0,Morogoro,2016,basic,56.0283
0,Rukwa,2016,basic,27.36522
0,Iringa,2016,basic,55.36443
0,Mbeya,2016,basic,42.05484
0,Lindi,2016,basic,40.44351
0,Ruvuma,2016,basic,48.84234
0,Mtwara,2016,basic,48.58458
0,Pwani,2016,basic,33.6826
0,Dar-es-salaam,2016,basic,89.92259
0,Arusha,2016,basic,58.28709
0,Manyara,2016,basic,44.72969
0,Kagera,2017,basic,29.96989
0,Mara,2017,basic,35.97252
0,Mwanza,2017,basic,45.90537
0,Shinyanga,2017,basic,39.77241
0,Kilimanjaro,2017,basic,90.87798
0,Kigoma,2017,basic,58.17626
0,Singida,2017,basic,41.42671
0,Tabora,2017,basic,21.88755
0,Tanga,2017,basic,43.86284
