,Region,Year,Type,Percentage
0,Kagera,2005,limited,0.79154
0,Mara,2005,limited,1.41132
0,Mwanza,2005,limited,5.45492
0,Shinyanga,2005,limited,1.16589
0,Kilimanjaro,2005,limited,6.69802
0,Kigoma,2005,limited,4.51929
0,Singida,2005,limited,2.48754
0,Tabora,2005,limited,0.54299
0,Tanga,2005,limited,7.26514
0,Dodoma,2005,limited,1.86687
0,Morogoro,2005,limited,4.53846
0,Rukwa,2005,limited,4.37198
0,Iringa,2005,limited,4.10659
0,Mbeya,2005,limited,3.93224
0,Lindi,2005,limited,6.91937
0,Ruvuma,2005,limited,4.4054
0,Mtwara,2005,limited,6.02118
0,Pwani,2005,limited,0.18508
0,Dar-es-salaam,2005,limited,12.92293
0,Arusha,2005,limited,9.3563
0,Manyara,2005,limited,0.48133
0,Kagera,2008,limited,1.18069
0,Mara,2008,limited,4.212
0,Mwanza,2008,limited,4.34826
0,Shinyanga,2008,limited,0.75937
0,Kilimanjaro,2008,limited,6.78867
0,Kigoma,2008,limited,4.71243
0,Singida,2008,limited,2.52075
0,Tabora,2008,limited,0.64436
0,Tanga,2008,limited,6.33058
0,Dodoma,2008,limited,2.04044
0,Morogoro,2008,limited,5.58744
0,Rukwa,2008,limited,5.27698
0,Iringa,2008,limited,4.24708
0,Mbeya,2008,limited,5.22169
0,Lindi,2008,limited,5.99602
0,Ruvuma,2008,limited,4.28469
0,Mtwara,2008,limited,5.56936
0,Pwani,2008,limited,0.40837
0,Dar-es-salaam,2008,limited,15.78998
0,Arusha,2008,limited,8.57688
0,Manyara,2008,limited,0.85422
0,Kagera,2010,limited,1.57478
0,Mara,2010,limited,4.01491
0,Mwanza,2010,limited,6.52142
0,Shinyanga,2010,limited,2.50204
0,Kilimanjaro,2010,limited,7.46611
0,Kigoma,2010,limited,6.21314
0,Singida,2010,limited,3.3421
0,Tabora,2010,limited,0.50794
0,Tanga,2010,limited,9.25725
0,Dodoma,2010,limited,1.7799
0,Morogoro,2010,limited,6.42979
0,Rukwa,2010,limited,5.86916
0,Iringa,2010,limited,5.05787
0,Mbeya,2010,limited,5.48513
0,Lindi,2010,limited,6.10867
0,Ruvuma,2010,limited,5.50668
0,Mtwara,2010,limited,5.74326
0,Pwani,2010,limited,0.56336
0,Dar-es-salaam,2010,limited,17.6795
0,Arusha,2010,limited,8.63041
0,Manyara,2010,limited,0.84848
0,Kagera,2012,limited,3.57445
0,Mara,2012,limited,12.90005
0,Mwanza,2012,limited,9.32918
0,Shinyanga,2012,limited,7.85414
0,Kilimanjaro,2012,limited,12.44188
0,Kigoma,2012,limited,9.1449
0,Singida,2012,limited,7.03958
0,Tabora,2012,limited,6.74538
0,Tanga,2012,limited,12.00611
0,Dodoma,2012,limited,18.07448
0,Morogoro,2012,limited,12.3392
0,Rukwa,2012,limited,6.44797
0,Iringa,2012,limited,3.63771
0,Mbeya,2012,limited,7.38815
0,Lindi,2012,limited,4.20219
0,Ruvuma,2012,limited,6.28157
0,Mtwara,2012,limited,4.90122
0,Pwani,2012,limited,7.91788
0,Dar-es-salaam,2012,limited,40.25087
0,Arusha,2012,limited,7.49078
0,Manyara,2012,limited,1.65147
0,Kagera,2016,limited,4.4744
0,Mara,2016,limited,9.67339
0,Mwanza,2016,limited,11.93408
0,Shinyanga,2016,limited,8.81287
0,Kilimanjaro,2016,limited,13.03514
0,Kigoma,2016,limited,3.78111
0,Singida,2016,limited,4.2022
0,Tabora,2016,limited,5.43769
0,Tanga,2016,limited,16.50442
0,Dodoma,2016,limited,5.9514
0,Morogoro,2016,limited,15.73392
0,Rukwa,2016,limited,7.65167
0,Iringa,2016,limited,17.45834
0,Mbeya,2016,limited,9.63332
0,Lindi,2016,limited,4.11546
0,Ruvuma,2016,limited,12.90447
0,Mtwara,2016,limited,6.18927
0,Pwani,2016,limited,11.76929
0,Dar-es-salaam,2016,limited,39.11605
0,Arusha,2016,limited,18.35768
0,Manyara,2016,limited,3.04418
0,Kagera,2017,limited,15.2315
0,Mara,2017,limited,27.02206
0,Mwanza,2017,limited,33.79676
0,Shinyanga,2017,limited,13.97557
0,Kilimanjaro,2017,limited,9.30129
0,Kigoma,2017,limited,17.49807
0,Singida,2017,limited,6.59029
0,Tabora,2017,limited,5.20642
0,Tanga,2017,limited,36.49057
0,Dodoma,2017,limited,2.87941
0,Morogoro,2017,limited,18.27763
0,Rukwa,2017,limited,20.75261
0,Iringa,2017,limited,16.48218
0,Mbeya,2017,limited,15.04506
0,Lindi,2017,limited,20.14632
0,Ruvuma,2017,limited,16.93802
0,Mtwara,2017,limited,4.27087
0,Pwani,2017,limited,15.46939
0,Dar-es-salaam,2017,limited,50.72939
0,Arusha,2017,limited,23.9237
0,Manyara,2017,limited,17.33506
0,Kagera,2005,basic,3.97841
0,Mara,2005,basic,2.6947
0,Mwanza,2005,basic,7.79925
0,Shinyanga,2005,basic,4.12003
0,Kilimanjaro,2005,basic,14.34493
0,Kigoma,2005,basic,7.95048
0,Singida,2005,basic,5.16817
0,Tabora,2005,basic,6.20618
0,Tanga,2005,basic,7.59249
0,Dodoma,2005,basic,5.49051
0,Morogoro,2005,basic,10.9616
0,Rukwa,2005,basic,3.66678
0,Iringa,2005,basic,24.79864
0,Mbeya,2005,basic,9.48343
0,Lindi,2005,basic,30.33396
0,Ruvuma,2005,basic,15.32858
0,Mtwara,2005,basic,22.86896
0,Pwani,2005,basic,1.98858
0,Dar-es-salaam,2005,basic,18.15037
0,Arusha,2005,basic,8.89419
0,Manyara,2005,basic,4.11644
0,Kagera,2008,basic,5.93431
0,Mara,2008,basic,8.04218
0,Mwanza,2008,basic,6.21698
0,Shinyanga,2008,basic,2.68346
0,Kilimanjaro,2008,basic,14.53908
0,Kigoma,2008,basic,8.29024
0,Singida,2008,basic,5.23717
0,Tabora,2008,basic,7.36485
0,Tanga,2008,basic,6.61583
0,Dodoma,2008,basic,6.00097
0,Morogoro,2008,basic,13.49518
0,Rukwa,2008,basic,4.4258
0,Iringa,2008,basic,25.64703
0,Mbeya,2008,basic,12.59322
0,Lindi,2008,basic,26.28608
0,Ruvuma,2008,basic,14.90855
0,Mtwara,2008,basic,21.1529
0,Pwani,2008,basic,4.38759
0,Dar-es-salaam,2008,basic,22.17716
0,Arusha,2008,basic,8.15326
0,Manyara,2008,basic,7.30548
0,Kagera,2010,basic,7.91508
0,Mara,2010,basic,7.66587
0,Mwanza,2010,basic,9.32409
0,Shinyanga,2010,basic,8.84169
0,Kilimanjaro,2010,basic,15.98993
0,Kigoma,2010,basic,10.93034
0,Singida,2010,basic,6.94361
0,Tabora,2010,basic,5.80563
0,Tanga,2010,basic,9.67436
0,Dodoma,2010,basic,5.23471
0,Morogoro,2010,basic,15.5297
0,Rukwa,2010,basic,4.92246
0,Iringa,2010,basic,30.54323
0,Mbeya,2010,basic,13.22855
0,Lindi,2010,basic,26.77994
0,Ruvuma,2010,basic,19.16046
0,Mtwara,2010,basic,21.81339
0,Pwani,2010,basic,6.05287
0,Dar-es-salaam,2010,basic,24.83101
0,Arusha,2010,basic,8.20415
0,Manyara,2010,basic,7.25644
0,Kagera,2012,basic,15.61137
0,Mara,2012,basic,14.28488
0,Mwanza,2012,basic,23.26802
0,Shinyanga,2012,basic,25.58995
0,Kilimanjaro,2012,basic,56.36245
0,Kigoma,2012,basic,19.41403
0,Singida,2012,basic,10.1468
0,Tabora,2012,basic,29.86007
0,Tanga,2012,basic,31.03697
0,Dodoma,2012,basic,15.97591
0,Morogoro,2012,basic,24.07407
0,Rukwa,2012,basic,23.73922
0,Iringa,2012,basic,26.89619
0,Mbeya,2012,basic,26.81947
0,Lindi,2012,basic,25.93847
0,Ruvuma,2012,basic,23.33223
0,Mtwara,2012,basic,26.89512
0,Pwani,2012,basic,25.7622
0,Dar-es-salaam,2012,basic,36.41636
0,Arusha,2012,basic,12.36102
0,Manyara,2012,basic,4.6047
0,Kagera,2016,basic,8.7766
0,Mara,2016,basic,15.17023
0,Mwanza,2016,basic,14.50941
0,Shinyanga,2016,basic,12.43893
0,Kilimanjaro,2016,basic,49.25062
0,Kigoma,2016,basic,12.04159
0,Singida,2016,basic,10.0749
0,Tabora,2016,basic,6.89384
0,Tanga,2016,basic,31.53916
0,Dodoma,2016,basic,10.90026
0,Morogoro,2016,basic,24.45187
0,Rukwa,2016,basic,7.34856
0,Iringa,2016,basic,20.01617
0,Mbeya,2016,basic,20.06447
0,Lindi,2016,basic,8.17865
0,Ruvuma,2016,basic,19.11039
0,Mtwara,2016,basic,14.53786
0,Pwani,2016,basic,22.18002
0,Dar-es-salaam,2016,basic,54.72797
0,Arusha,2016,basic,25.2522
0,Manyara,2016,basic,10.47921
0,Kagera,2017,basic,24.23968
0,Mara,2017,basic,39.1655
0,Mwanza,2017,basic,54.19728
0,Shinyanga,2017,basic,23.93279
0,Kilimanjaro,2017,basic,67.50517
0,Kigoma,2017,basic,34.36682
0,Singida,2017,basic,28.37795
0,Tabora,2017,basic,28.82753
0,Tanga,2017,basic,43.61641
0,Dodoma,2017,basic,16.2977
0,Morogoro,2017,basic,33.77821
0,Rukwa,2017,basic,40.26759
0,Iringa,2017,basic,39.48259
0,Mbeya,2017,basic,50.23284
0,Lindi,2017,basic,47.92604
0,Ruvuma,2017,basic,43.92027
0,Mtwara,2017,basic,25.17981
0,Pwani,2017,basic,46.59997
0,Dar-es-salaam,2017,basic,43.43455
0,Arusha,2017,basic,55.42895
0,Manyara,2017,basic,40.96797
0,Kagera,2005,opendef,11.13646
0,Mara,2005,opendef,41.31676
0,Mwanza,2005,opendef,16.86505
0,Shinyanga,2005,opendef,25.4994
0,Kilimanjaro,2005,opendef,0.94267
0,Kigoma,2005,opendef,7.84179
0,Singida,2005,opendef,9.97405
0,Tabora,2005,opendef,39.44864
0,Tanga,2005,opendef,7.75015
0,Dodoma,2005,opendef,10.98033
0,Morogoro,2005,opendef,4.1583
0,Rukwa,2005,opendef,8.99501
0,Iringa,2005,opendef,4.78384
0,Mbeya,2005,opendef,14.97953
0,Lindi,2005,opendef,6.84266
0,Ruvuma,2005,opendef,2.9464
0,Mtwara,2005,opendef,6.1727
0,Pwani,2005,opendef,6.99241
0,Dar-es-salaam,2005,opendef,0.15622
0,Arusha,2005,opendef,27.77759
0,Manyara,2005,opendef,17.8579
0,Kagera,2008,opendef,16.08014
0,Mara,2008,opendef,31.71321
0,Mwanza,2008,opendef,24.18718
0,Shinyanga,2008,opendef,27.10824
0,Kilimanjaro,2008,opendef,1.22011
0,Kigoma,2008,opendef,9.25373
0,Singida,2008,opendef,11.59646
0,Tabora,2008,opendef,35.67484
0,Tanga,2008,opendef,12.81367
0,Dodoma,2008,opendef,20.27825
0,Morogoro,2008,opendef,7.62427
0,Rukwa,2008,opendef,5.97235
0,Iringa,2008,opendef,5.12901
0,Mbeya,2008,opendef,12.5139
0,Lindi,2008,opendef,17.45817
0,Ruvuma,2008,opendef,2.77353
0,Mtwara,2008,opendef,11.72104
0,Pwani,2008,opendef,11.43736
0,Dar-es-salaam,2008,opendef,0.03345
0,Arusha,2008,opendef,35.53375
0,Manyara,2008,opendef,25.08899
0,Kagera,2010,opendef,12.33182
0,Mara,2010,opendef,38.27524
0,Mwanza,2010,opendef,19.89227
0,Shinyanga,2010,opendef,29.25265
0,Kilimanjaro,2010,opendef,0.89989
0,Kigoma,2010,opendef,2.67752
0,Singida,2010,opendef,15.07057
0,Tabora,2010,opendef,34.92567
0,Tanga,2010,opendef,11.37018
0,Dodoma,2010,opendef,19.43768
0,Morogoro,2010,opendef,0.4566
0,Rukwa,2010,opendef,20.63595
0,Iringa,2010,opendef,1.28451
0,Mbeya,2010,opendef,16.04505
0,Lindi,2010,opendef,10.55927
0,Ruvuma,2010,opendef,2.17608
0,Mtwara,2010,opendef,14.32042
0,Pwani,2010,opendef,5.93755
0,Dar-es-salaam,2010,opendef,0.58065
0,Arusha,2010,opendef,30.87029
0,Manyara,2010,opendef,27.73863
0,Kagera,2012,opendef,7.4333
0,Mara,2012,opendef,37.58569
0,Mwanza,2012,opendef,11.6522
0,Shinyanga,2012,opendef,29.15687
0,Kilimanjaro,2012,opendef,0.62874
0,Kigoma,2012,opendef,5.76185
0,Singida,2012,opendef,18.93073
0,Tabora,2012,opendef,13.12418
0,Tanga,2012,opendef,23.60027
0,Dodoma,2012,opendef,19.55768
0,Morogoro,2012,opendef,9.0517
0,Rukwa,2012,opendef,9.93471
0,Iringa,2012,opendef,0.00407
0,Mbeya,2012,opendef,4.51487
0,Lindi,2012,opendef,12.2984
0,Ruvuma,2012,opendef,0.0
0,Mtwara,2012,opendef,3.34093
0,Pwani,2012,opendef,8.23597
0,Dar-es-salaam,2012,opendef,0.36221
0,Arusha,2012,opendef,29.1903
0,Manyara,2012,opendef,23.13686
0,Kagera,2016,opendef,1.96823
0,Mara,2016,opendef,28.43281
0,Mwanza,2016,opendef,12.67166
0,Shinyanga,2016,opendef,24.85895
0,Kilimanjaro,2016,opendef,2.47374
0,Kigoma,2016,opendef,9.58617
0,Singida,2016,opendef,9.251
0,Tabora,2016,opendef,26.68973
0,Tanga,2016,opendef,9.22036
0,Dodoma,2016,opendef,6.88917
0,Morogoro,2016,opendef,5.32664
0,Rukwa,2016,opendef,9.12499
0,Iringa,2016,opendef,1.52949
0,Mbeya,2016,opendef,3.43319
0,Lindi,2016,opendef,3.49372
0,Ruvuma,2016,opendef,1.58539
0,Mtwara,2016,opendef,3.64522
0,Pwani,2016,opendef,4.85836
0,Dar-es-salaam,2016,opendef,0.02435
0,Arusha,2016,opendef,19.269
0,Manyara,2016,opendef,24.32159
0,Kagera,2017,opendef,2.23443
0,Mara,2017,opendef,19.33737
0,Mwanza,2017,opendef,4.80796
0,Shinyanga,2017,opendef,8.91909
0,Kilimanjaro,2017,opendef,0.63983
0,Kigoma,2017,opendef,3.22725
0,Singida,2017,opendef,13.96434
0,Tabora,2017,opendef,22.54643
0,Tanga,2017,opendef,7.54227
0,Dodoma,2017,opendef,4.0019
0,Morogoro,2017,opendef,3.80478
0,Rukwa,2017,opendef,1.72372
0,Iringa,2017,opendef,1.0439
0,Mbeya,2017,opendef,10.6249
0,Lindi,2017,opendef,2.87437
0,Ruvuma,2017,opendef,0.49276
0,Mtwara,2017,opendef,5.83836
0,Pwani,2017,opendef,10.84203
0,Dar-es-salaam,2017,opendef,0.06616
0,Arusha,2017,opendef,11.7148
0,Manyara,2017,opendef,8.19356
0,Kagera,2005,unimproved,84.09358
0,Mara,2005,unimproved,54.57723
0,Mwanza,2005,unimproved,69.88077
0,Shinyanga,2005,unimproved,69.21467
0,Kilimanjaro,2005,unimproved,78.01438
0,Kigoma,2005,unimproved,79.68843
0,Singida,2005,unimproved,82.37024
0,Tabora,2005,unimproved,53.80219
0,Tanga,2005,unimproved,77.39222
0,Dodoma,2005,unimproved,81.66229
0,Morogoro,2005,unimproved,80.34164
0,Rukwa,2005,unimproved,82.96624
0,Iringa,2005,unimproved,66.31094
0,Mbeya,2005,unimproved,71.6048
0,Lindi,2005,unimproved,55.90402
0,Ruvuma,2005,unimproved,77.31961
0,Mtwara,2005,unimproved,64.93716
0,Pwani,2005,unimproved,90.83392
0,Dar-es-salaam,2005,unimproved,68.77048
0,Arusha,2005,unimproved,53.97192
0,Manyara,2005,unimproved,77.54433
0,Kagera,2008,unimproved,76.80486
0,Mara,2008,unimproved,56.03261
0,Mwanza,2008,unimproved,65.24758
0,Shinyanga,2008,unimproved,69.44893
0,Kilimanjaro,2008,unimproved,77.45214
0,Kigoma,2008,unimproved,77.74359
0,Singida,2008,unimproved,80.64561
0,Tabora,2008,unimproved,56.31595
0,Tanga,2008,unimproved,74.23992
0,Dodoma,2008,unimproved,71.68034
0,Morogoro,2008,unimproved,73.29311
0,Rukwa,2008,unimproved,84.32487
0,Iringa,2008,unimproved,64.97687
0,Mbeya,2008,unimproved,69.67118
0,Lindi,2008,unimproved,50.25972
0,Ruvuma,2008,unimproved,78.03323
0,Mtwara,2008,unimproved,61.55671
0,Pwani,2008,unimproved,83.76669
0,Dar-es-salaam,2008,unimproved,61.99941
0,Arusha,2008,unimproved,47.73611
0,Manyara,2008,unimproved,66.75131
0,Kagera,2010,unimproved,78.17832
0,Mara,2010,unimproved,50.04399
0,Mwanza,2010,unimproved,64.26223
0,Shinyanga,2010,unimproved,59.40361
0,Kilimanjaro,2010,unimproved,75.64407
0,Kigoma,2010,unimproved,80.179
0,Singida,2010,unimproved,74.64372
0,Tabora,2010,unimproved,58.76076
0,Tanga,2010,unimproved,69.6982
0,Dodoma,2010,unimproved,73.54771
0,Morogoro,2010,unimproved,77.58391
0,Rukwa,2010,unimproved,68.57243
0,Iringa,2010,unimproved,63.11439
0,Mbeya,2010,unimproved,65.24127
0,Lindi,2010,unimproved,56.55211
0,Ruvuma,2010,unimproved,73.15678
0,Mtwara,2010,unimproved,58.12293
0,Pwani,2010,unimproved,87.44622
0,Dar-es-salaam,2010,unimproved,56.90884
0,Arusha,2010,unimproved,52.29515
0,Manyara,2010,unimproved,64.15645
0,Kagera,2012,unimproved,73.38089
0,Mara,2012,unimproved,35.22938
0,Mwanza,2012,unimproved,55.7506
0,Shinyanga,2012,unimproved,37.39904
0,Kilimanjaro,2012,unimproved,30.56693
0,Kigoma,2012,unimproved,65.67922
0,Singida,2012,unimproved,63.88289
0,Tabora,2012,unimproved,50.27037
0,Tanga,2012,unimproved,33.35666
0,Dodoma,2012,unimproved,46.39194
0,Morogoro,2012,unimproved,54.53503
0,Rukwa,2012,unimproved,59.8781
0,Iringa,2012,unimproved,69.46203
0,Mbeya,2012,unimproved,61.27751
0,Lindi,2012,unimproved,57.56094
0,Ruvuma,2012,unimproved,70.38619
0,Mtwara,2012,unimproved,64.86273
0,Pwani,2012,unimproved,58.08395
0,Dar-es-salaam,2012,unimproved,22.97055
0,Arusha,2012,unimproved,50.95789
0,Manyara,2012,unimproved,70.60697
0,Kagera,2016,unimproved,84.78077
0,Mara,2016,unimproved,46.72357
0,Mwanza,2016,unimproved,60.88485
0,Shinyanga,2016,unimproved,53.88924
